Aalto Alvar
Aarons Slim
Abbey Edwin Austin
Abercrombie Gertrude
Abramović Marina
Abts Tomma
Acconci Vito
Achenbach Andreas
Ackroyd Norman
Adams Ansel
Adams Arthur
Addams Charles
Adnan Etel
Aenami Alena
Aertsen Pieter
Affandi
Afremov Leonid
Afshar Petros
Agam Yaacov
Agar Eileen
Agasse Jacques-Laurent
Aivazovsky Ivan
Aja David
Albers Anni
Albers Josef
Albert Bierstadt
Alberto Giacometti
Albrecht Durer
Albright Ivan
Albuquerque Rafael
Alejandro Jodorowsky
Alma-Tadema Lawrence
Alvarado Lilia
Alzamora Emil
Amano Yoshitaka
Amedeo Modigiliani
Amiet Cuno
Anderson Sophie
Anderson Wes
Ando Tadao
Andreev Alex
Andrews Esao
Andy Warhol
Angrand Charles
Anguissola Sofonisba
Anker Albrecht
Anning Mary
Ansin Martin
Anton Pieck
Araki Hirohiko
Araki Nobuyoshi
Aramaki Shinji
Arbus Diane
Arcangel Cory
Archipenko Alexander
Archipenko Olexandr
Arcimboldo Giuseppe
Ardon Mordecai
Argyle Steve
Arian Mark
Arik Brauer
Arkley Howard
Armstrong Rolf
Arnold Böcklin
Arp Jean
Arshile Gorky
Artemisia Gentileschi
Artgerm
Arthur Skizhali-Weiss
Asano Inio
Ascher Clemens
Asencio Henry
Atroshenko Andrew
Audubon John James
Auerbach Frank
Ault George
Avercamp Hendrick
Averin Alexandr
Avery Milton
Avery Tex
Baars Ingrid
Backer Harriet
Bacon Francis
Bagge Peter
Bagshaw Tom
Bailly Alice
Bak Karol
Balaskas Christopher
Baldridge Jamie
Baldung Hans
Balfour Ronald
Balla Giacomo
Balthus
Baluschek Hans
Bana Benedick
Banksy
Barker Cicely Mary
Barks Carl
Barlowe Wayne
Barnes Ernie
Barnet Will
Barry Lynda
Barson Paul
Bartlett Bo
Basquiat Jean-Michel
Bastien-Lepage Jules
Bates David
Bauer John
Beal Gifford
Beardsley Aubrey
Beaton Kate
Bechdel Allison
Becket-Griffith Jasmine
Beckmann Max
Beeple
Beksinski
Beksinski Zdzislaw
Beksiński Zdzisław
Bell Julie
Bellmer Hans
Benoit B. Mandelbrot
Berkey John
Bernard Émile
